artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature,pc1,pc2,label
Post Malone,Circles,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.5529999999999999,120.042,spotify:track:21jGcNKet2qwijlDFuPiPb,4,-0.2902010616942887,-0.17527380803263898,5
Mokita,Til I Don't,0.7659999999999999,0.39399999999999996,0,-7.4510000000000005,1,0.0637,0.0582,0.005229999999999999,0.27899999999999997,0.816,160.079,spotify:track:6TSlbHp7Vx4wZ0Rqciwn5v,4,-0.1387269018440422,-0.185654980775482,0
Lostboycrow,Devil's in the Backseat,0.642,0.5579999999999999,5,-8.401,0,0.0693,0.16399999999999998,0.0,0.142,0.51,156.053,spotify:track:52hSR5CsLyziuwpZQqd9wI,4,-0.11072545457292161,0.08612163900170455,0
Loote,85%,0.574,0.6509999999999999,7,-7.585,1,0.046,0.34600000000000003,0.0,0.149,0.368,140.017,spotify:track:5teOR8KU4XNWY2WlVUDiIR,4,-0.03210027168833838,0.14990874549930064,0
Lauv,Sad Forever,0.527,0.5379999999999999,5,-7.434,1,0.10400000000000001,0.46799999999999997,0.0,0.0825,0.389,117.319,spotify:track:4a5zacCsHLtMC2mcxkqWwn,4,0.15894239581937805,0.08182163591044507,4
Lauv,Sims,0.529,0.39799999999999996,2,-8.238,1,0.38799999999999996,0.643,0.0,0.0637,0.5670000000000001,99.714,spotify:track:7IE989Ftunp6k2LdMsFC5r,4,0.45883575036615093,-0.15058156562081784,3
Kygo,Raging (feat. Kodaline),0.55,0.6890000000000001,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,spotify:track:6DsFZITJMPnh8z5XewfVmL,4,-0.232720843356308,-0.012583559107468327,0
Khalid,Young Dumb & Broke,0.7979999999999999,0.539,1,-6.351,1,0.0421,0.19899999999999998,1.66e-05,0.165,0.39399999999999996,136.94899999999998,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,4,-0.06225191611892435,-0.04072946652831036,0
Khalid,OTW,0.652,0.6779999999999999,2,-6.183,1,0.0541,0.183,3.26e-05,0.106,0.28,72.98899999999999,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,4,-0.10294721951577955,-0.11494596301860907,0
Clueless Kit,I'm Not Sober,0.667,0.541,2,-7.247000000000001,1,0.0425,0.49700000000000005,2.76e-06,0.0979,0.327,108.95200000000001,spotify:track:4eNHyE1TnZ71EKADVixS9q,4,0.19805100981049703,-0.009616475254064609,4
Russ,Nobody Knows,0.715,0.71,4,-9.504,1,0.43200000000000005,0.445,0.00028399999999999996,0.10300000000000001,0.526,162.043,spotify:track:1pNAf6W7POwjOD8x8mWf8G,4,0.1138920506692238,-0.05602553389058038,2
Clueless Kit,Not You (feat. Kora),0.47,0.349,0,-11.327,1,0.375,0.395,4.4e-05,0.127,0.264,72.32600000000001,spotify:track:69R5AoRQjNVSDemDFhKZOj,4,0.42706199297121006,0.033784687681515414,3
FINNEAS,Let's Fall in Love for the Night,0.737,0.408,5,-7.941,1,0.10400000000000001,0.802,0.0,0.171,0.374,127.921,spotify:track:7kQkmyoHCEqwe7QwDbkSXM,4,0.5220982583891979,-0.033461498421277665,3
Brent Faiyaz,Gang Over Luv,0.7809999999999999,0.27699999999999997,8,-9.35,1,0.326,0.0408,0.000339,0.0754,0.302,163.987,spotify:track:7LaI3mRTJu66r9HKdv7iBx,4,0.10762632284495985,0.14681565686299478,4
keshi,skeletons,0.7190000000000001,0.265,2,-12.782,1,0.0754,0.29600000000000004,0.0865,0.10800000000000001,0.273,80.021,spotify:track:2BuJrxYKhYky20dQqTlobO,4,0.3955571283500797,-0.05002437005180514,3
keshi,summer,0.7170000000000001,0.45299999999999996,8,-9.394,1,0.0532,0.14400000000000002,0.0,0.12,0.483,85.005,spotify:track:0LqCvXVNvcnkq78sCQsoO0,4,0.04850853547664245,-0.20414098499649358,2
Jon Bellion,Blu,0.384,0.465,0,-8.554,1,0.0341,0.29,2.22e-05,0.359,0.636,131.60399999999998,spotify:track:4FUDWkguOUVpLRAVn5C20z,4,-0.003126408403571244,0.11184514474229838,0
Jon Bellion,Guillotine,0.574,0.8029999999999999,4,-3.17,0,0.18600000000000003,0.102,4.15e-06,0.0861,0.647,97.96700000000001,spotify:track:2FK1qmw8XNBqUe5CcgTVnE,4,-0.36462514976900157,-0.26113722635572034,5
