uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:2UoBCvP9e34TJ4RSPUXomc,Prelow,Backseat,0.706,0.559,-6.565,0.0339,0.0126,0.051,0.468,102.003
spotify:track:3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,-5.574,0.0466,0.556,0.0703,0.913,89.911
spotify:track:7xQAfvXzm3AkraOtGPWIZg,Post Malone,Wow.,0.829,0.539,-7.359,0.208,0.136,0.103,0.388,99.96
spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),0.585,0.52,-6.136,0.0712,0.124,0.131,0.129,159.801
spotify:track:2VdT56BGpdqNHUgOe1j5vc,Post Malone,Rich & Sad,0.599,0.571,-4.998,0.0665,0.198,0.0969,0.285,151.974
spotify:track:4qWCFTuNnmGNdY4egtb4ZY,Post Malone,Otherside,0.652,0.643,-5.667,0.0353,0.318,0.208,0.109,104.932
spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,0.695,0.762,-3.497,0.0395,0.192,0.0863,0.553,120.042
spotify:track:6TSlbHp7Vx4wZ0Rqciwn5v,Mokita,Til I Don't,0.766,0.394,-7.451,0.0637,0.0582,0.279,0.816,160.079
spotify:track:52hSR5CsLyziuwpZQqd9wI,Lostboycrow,Devil's in the Backseat,0.642,0.558,-8.401,0.0693,0.164,0.142,0.51,156.053
spotify:track:5teOR8KU4XNWY2WlVUDiIR,Loote,85%,0.574,0.651,-7.585,0.046,0.346,0.149,0.368,140.017
spotify:track:4a5zacCsHLtMC2mcxkqWwn,Lauv,Sad Forever,0.527,0.538,-7.434,0.104,0.468,0.0825,0.389,117.319
spotify:track:7IE989Ftunp6k2LdMsFC5r,Lauv,Sims,0.529,0.398,-8.238,0.388,0.643,0.0637,0.567,99.714
spotify:track:6DsFZITJMPnh8z5XewfVmL,Kygo,Raging (feat. Kodaline),0.55,0.689,-7.76,0.094,0.0498,0.207,0.408,99.904
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,0.798,0.539,-6.351,0.0421,0.199,0.165,0.394,136.949
spotify:track:6Hgh47WXVKtXN5zGOu0hjI,Khalid,OTW,0.652,0.678,-6.183,0.0541,0.183,0.106,0.28,72.989
spotify:track:4eNHyE1TnZ71EKADVixS9q,Clueless Kit,I'm Not Sober,0.667,0.541,-7.247,0.0425,0.497,0.0979,0.327,108.952
spotify:track:1pNAf6W7POwjOD8x8mWf8G,Russ,Nobody Knows,0.715,0.71,-9.504,0.432,0.445,0.103,0.526,162.043
spotify:track:69R5AoRQjNVSDemDFhKZOj,Clueless Kit,Not You (feat. Kora),0.47,0.349,-11.327,0.375,0.395,0.127,0.264,72.326
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,FINNEAS,Let's Fall in Love for the Night,0.737,0.408,-7.941,0.104,0.802,0.171,0.374,127.921
spotify:track:7LaI3mRTJu66r9HKdv7iBx,Brent Faiyaz,Gang Over Luv,0.781,0.277,-9.35,0.326,0.0408,0.0754,0.302,163.987
spotify:track:2BuJrxYKhYky20dQqTlobO,keshi,skeletons,0.719,0.265,-12.782,0.0754,0.296,0.108,0.273,80.021
spotify:track:0LqCvXVNvcnkq78sCQsoO0,keshi,summer,0.717,0.453,-9.394,0.0532,0.144,0.12,0.483,85.005
spotify:track:4FUDWkguOUVpLRAVn5C20z,Jon Bellion,Blu,0.384,0.465,-8.554,0.0341,0.29,0.359,0.636,131.604
spotify:track:2FK1qmw8XNBqUe5CcgTVnE,Jon Bellion,Guillotine,0.574,0.803,-3.17,0.186,0.102,0.0861,0.647,97.967
spotify:track:1DMEzmAoQIikcL52psptQL,Joji,TEST DRIVE,0.646,0.648,-8.602,0.0372,0.71,0.108,0.466,75.004
spotify:track:6p8eEdiZLKJH8tcjGZuNTK,Joji,Run,0.447,0.72,-3.954,0.0332,0.0416,0.614,0.362,157.892
spotify:track:3xaugmCyXrVkrDTXbFkMW3,Joji,Sanctuary,0.552,0.65,-7.199,0.128,0.422,0.372,0.316,167.788
spotify:track:3kYARoLSAvt86VFZ55BQcq,88rising,Head In The Clouds,0.516,0.456,-9.242,0.0397,0.281,0.0847,0.238,145.843
spotify:track:7cflqPPi3zWfLFRRBTWeh6,Jeremy Zucker,talk is overrated,0.776,0.353,-8.317,0.0687,0.435,0.302,0.658,138.035
spotify:track:0yjdEwkPYbhCXN6uCedpVu,Jeremy Zucker,Flying Kites,0.726,0.46,-5.33,0.0758,0.932,0.0731,0.665,143.737
spotify:track:18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,comethru,0.795,0.178,-11.991,0.0574,0.607,0.623,0.608,93.982
spotify:track:5pJPgy2jGvvNUNfHPvG3Zp,HONNE,Warm on a Cold Night,0.342,0.609,-5.68,0.0943,0.185,0.0799,0.401,82.989
spotify:track:0d2iYfpKoM0QCKvcLCkBao,benny blanco,Eastside (with Halsey & Khalid),0.56,0.68,-7.648,0.321,0.555,0.116,0.319,89.391
spotify:track:3YTqCVdqwsql9yQKshguT6,gianni & kyle,wave,0.744,0.43,-9.835,0.162,0.262,0.104,0.286,89.993
spotify:track:7lKNg20fAXWXgrr9ZmVdEE,gianni & kyle,jealous,0.832,0.643,-6.035,0.127,0.274,0.0983,0.393,135.007
spotify:track:7kMFvJUNKfQaOFxN4kXa68,gianni & kyle,how u get,0.867,0.658,-5.242,0.219,0.38,0.142,0.608,101.969
spotify:track:1AHf5FSofKcUw8tyKkccKF,gianni & kyle,do u even miss me at all?,0.819,0.519,-7.16,0.0768,0.384,0.0898,0.452,100.039
spotify:track:0znCw9dSfsrBGUtxAzd9kD,gianni & kyle,5 shots,0.918,0.449,-5.702,0.0605,0.124,0.0595,0.481,91.978
spotify:track:7AhqAjYc1F7x3yURlb0dkj,EXES,Peckham,0.592,0.495,-7.89,0.0446,0.581,0.134,0.226,114.925
spotify:track:69yWHw7ZdTfYnpk67pdj3a,COIN,"Don't Cry, 2020",0.527,0.867,-5.854,0.145,0.0132,0.612,0.184,128.04
