uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,pc1,pc2,label
spotify:track:4WvApvScQ8ofzDIqgpScmb,Eric Reprid,June Blues,0.941,0.551,-5.659,0.0534,0.331,0.106,0.7020000000000001,98.014,0.03231482578638237,-0.5217779895778804,2
spotify:track:6VbkpKQxghXolaaY4gS61D,Bren Joy,Pocket,0.516,0.682,-6.545,0.0535,0.096,0.107,0.39299999999999996,153.996,-0.28531852178131517,0.23689854278943745,3
spotify:track:57RA3JGafJm5zRtKJiKPIm,Wallows,Are You Bored Yet? (feat. Clairo),0.682,0.6829999999999999,-6.444,0.0287,0.156,0.273,0.64,120.023,-0.23293238414964315,-0.19376164766999374,0
spotify:track:4iaPzRl9XegHsNdZfuHWFD,Timeflies,Nobody Has to Know,0.725,0.57,-4.06,0.106,0.723,0.085,0.23800000000000002,146.233,0.27942221085207547,0.09662180699666378,6
spotify:track:4eCe46kZbdcdHeWhjZww8I,Timeflies,Gravity,0.68,0.6659999999999999,-5.6979999999999995,0.0441,0.0217,0.125,0.501,74.0,-0.2602858819157583,-0.27339942456877103,0
spotify:track:2Yer0p7uB2lVBUAtANuuQp,Social House,Magic In The Hamptons (feat. Lil Yachty),0.769,0.479,-5.3389999999999995,0.0385,0.66,0.0914,0.8029999999999999,96.051,0.27705401873185137,-0.4711807970610556,2
spotify:track:0Vs8BRdNnyuk0QXWPWvICK,Social House,Love Me Back,0.5589999999999999,0.43700000000000006,-10.27,0.0311,0.585,0.10099999999999999,0.43,157.991,0.3072229197177619,0.22771345639590992,6
spotify:track:26OhjtaTamFocE08t83ml6,Russ,"Psycho, Pt. 2",0.7659999999999999,0.5479999999999999,-4.29,0.235,0.775,0.1,0.424,82.944,0.41150316705306794,-0.3320857287445342,5
spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ,Rex Orange County,Sunflower,0.384,0.765,-4.463,0.0579,0.6459999999999999,0.522,0.5670000000000001,129.903,-0.00842530638441373,0.05906256986393626,4
spotify:track:7cM9Kqto11iJpY2RwgVJSq,Quinn XCII,Flare Guns,0.812,0.47200000000000003,-6.806,0.0603,0.26,0.285,0.457,92.95100000000001,0.06961833199196188,-0.2628414271548982,2
spotify:track:3je88Q4OvTqIx7BFRFYvRA,PRETTYMUCH,Phases,0.77,0.636,-6.724,0.131,0.16899999999999998,0.0676,0.49200000000000005,105.93,-0.10444359269830782,-0.2268166744233322,2
spotify:track:2UoBCvP9e34TJ4RSPUXomc,Prelow,Backseat,0.706,0.5589999999999999,-6.565,0.0339,0.0126,0.051,0.46799999999999997,102.00299999999999,-0.19917531862741897,-0.13770858878306333,4
spotify:track:3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0.76,0.479,-5.574,0.0466,0.556,0.0703,0.9129999999999999,89.911,0.1960500332152511,-0.5545417947682996,2
spotify:track:7xQAfvXzm3AkraOtGPWIZg,Post Malone,Wow.,0.8290000000000001,0.539,-7.359,0.20800000000000002,0.136,0.10300000000000001,0.38799999999999996,99.96,-0.006259962071875337,-0.22536022138373807,2
spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar (feat. 21 Savage),0.585,0.52,-6.136,0.0712,0.124,0.131,0.129,159.80100000000002,-0.12201978585139334,0.3930250953931659,3
spotify:track:2VdT56BGpdqNHUgOe1j5vc,Post Malone,Rich & Sad,0.599,0.5710000000000001,-4.998,0.0665,0.198,0.0969,0.285,151.974,-0.1354449145294107,0.2311201805282018,4
spotify:track:4qWCFTuNnmGNdY4egtb4ZY,Post Malone,Otherside,0.652,0.643,-5.667000000000001,0.0353,0.318,0.20800000000000002,0.109,104.932,-0.009326464746494133,0.11438614890583955,6
spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,0.695,0.762,-3.497,0.0395,0.192,0.0863,0.5529999999999999,120.042,-0.2926088367736727,-0.1751801950494705,0
spotify:track:6TSlbHp7Vx4wZ0Rqciwn5v,Mokita,Til I Don't,0.7659999999999999,0.39399999999999996,-7.4510000000000005,0.0637,0.0582,0.27899999999999997,0.816,160.079,-0.14410263298011006,-0.17748038938320165,4
spotify:track:52hSR5CsLyziuwpZQqd9wI,Lostboycrow,Devil's in the Backseat,0.642,0.5579999999999999,-8.401,0.0693,0.16399999999999998,0.142,0.51,156.053,-0.11415045007257946,0.08930841384062631,4
spotify:track:5teOR8KU4XNWY2WlVUDiIR,Loote,85%,0.574,0.6509999999999999,-7.585,0.046,0.34600000000000003,0.149,0.368,140.017,-0.03413510952385033,0.15043205566699605,6
spotify:track:4a5zacCsHLtMC2mcxkqWwn,Lauv,Sad Forever,0.527,0.5379999999999999,-7.434,0.10400000000000001,0.46799999999999997,0.0825,0.389,117.319,0.1572060756269358,0.08072367958697209,6
spotify:track:7IE989Ftunp6k2LdMsFC5r,Lauv,Sims,0.529,0.39799999999999996,-8.238,0.38799999999999996,0.643,0.0637,0.5670000000000001,99.714,0.45662329048949335,-0.153016775015868,5
spotify:track:6DsFZITJMPnh8z5XewfVmL,Kygo,Raging (feat. Kodaline),0.55,0.6890000000000001,-7.76,0.094,0.0498,0.207,0.408,99.904,-0.23565149194622478,-0.012153964269417656,4
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,0.7979999999999999,0.539,-6.351,0.0421,0.19899999999999998,0.165,0.39399999999999996,136.94899999999998,-0.06589186672138217,-0.03884082941679808,4
spotify:track:6Hgh47WXVKtXN5zGOu0hjI,Khalid,OTW,0.652,0.6779999999999999,-6.183,0.0541,0.183,0.106,0.28,72.98899999999999,-0.10532423591228532,-0.11777711229193559,4
spotify:track:4eNHyE1TnZ71EKADVixS9q,Clueless Kit,I'm Not Sober,0.667,0.541,-7.247000000000001,0.0425,0.49700000000000005,0.0979,0.327,108.95200000000001,0.1959780487365973,-0.01106399780687053,6
spotify:track:1pNAf6W7POwjOD8x8mWf8G,Russ,Nobody Knows,0.715,0.71,-9.504,0.43200000000000005,0.445,0.10300000000000001,0.526,162.043,0.11102938093566478,-0.05718861036175554,2
spotify:track:69R5AoRQjNVSDemDFhKZOj,Clueless Kit,Not You (feat. Kora),0.47,0.349,-11.327,0.375,0.395,0.127,0.264,72.32600000000001,0.4242884174641246,0.030359407991154563,5
spotify:track:7kQkmyoHCEqwe7QwDbkSXM,FINNEAS,Let's Fall in Love for the Night,0.737,0.408,-7.941,0.10400000000000001,0.802,0.171,0.374,127.921,0.5198961784784493,-0.03386139623550976,5
spotify:track:7LaI3mRTJu66r9HKdv7iBx,Brent Faiyaz,Gang Over Luv,0.7809999999999999,0.27699999999999997,-9.35,0.326,0.0408,0.0754,0.302,163.987,0.10262490546006049,0.1486732725152046,6
spotify:track:2BuJrxYKhYky20dQqTlobO,keshi,skeletons,0.7190000000000001,0.265,-12.782,0.0754,0.29600000000000004,0.10800000000000001,0.273,80.021,0.3913846055882265,-0.05038109052514003,5
spotify:track:0LqCvXVNvcnkq78sCQsoO0,keshi,summer,0.7170000000000001,0.45299999999999996,-9.394,0.0532,0.14400000000000002,0.12,0.483,85.005,0.04443431812648167,-0.20330900371205424,2
spotify:track:4FUDWkguOUVpLRAVn5C20z,Jon Bellion,Blu,0.384,0.465,-8.554,0.0341,0.29,0.359,0.636,131.60399999999998,-0.006021878360499277,0.11748474844469828,6
spotify:track:2FK1qmw8XNBqUe5CcgTVnE,Jon Bellion,Guillotine,0.574,0.8029999999999999,-3.17,0.18600000000000003,0.102,0.0861,0.647,97.96700000000001,-0.3669301203495057,-0.262129638077591,0
