artist,title,played_at,session,uri,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,label
Kygo,I'll Wait,(05/21) 16:43 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.983,4
Said the Sky,All I Got,(05/21) 16:39 PM,2d5ea73eecca5c25c5c415b5403058185903ad20,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Felix Palmqvist,Think Of Me (feat. Lo�,(05/21) 15:00 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:5uRjHOMFT16RS1f8ZNlkzm,0.499,0.61,-4.48,0.031,0.606,0.0693,0.299,155.21200000000005,6
ayokay,Cassette,(05/21) 14:57 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:3GweDldi2HrraUKLexWUeb,0.718,0.56,-6.739,0.0564,0.141,0.14800000000000002,0.292,75.031,2
X Ambassadors,HOLD YOU DOWN,(05/21) 14:54 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:3Tiv2bF1OLCXXnuXaDKaG3,0.5770000000000001,0.627,-5.553,0.0533,0.0491,0.0766,0.446,78.96,4
Post Malone,I'm Gonna Be,(05/21) 14:50 PM,805b3e417881d38bd9efdfecfcb8edc47da177ee,spotify:track:1ckLp8lCl8LipXI0ypX72m,0.746,0.5589999999999999,-4.008,0.0316,0.703,0.14800000000000002,0.368,117.943,2
Delaney Jane,Throwback,(05/20) 19:12 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:0O64j1yLdHg17XDfleKiYH,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071,4
TWIN XL,Good,(05/20) 19:11 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:7sRdxkgNb3m3Ciai38ANmd,0.617,0.964,-3.559,0.0355,0.113,0.247,0.961,75.97800000000002,0
TWIN XL,"Don't Wake Me, I'm Still Dreaming",(05/20) 19:08 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6NdL165hAxSKNnozIA2HDY,0.388,0.777,-5.194,0.0341,0.0218,0.101,0.218,163.805,3
TWIN XL,Neon Summer,(05/20) 19:05 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:4NjW9Srshx2xuTdEoUnf9C,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023,0
Mike Perry,Lighthouse,(05/20) 19:01 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:4AM3fxgUBkEUO6xScrmB9a,0.5429999999999999,0.875,-3.033,0.032,0.0795,0.061,0.244,154.936,3
Lauv,Tattoos Together,(05/20) 18:58 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1Srt81FTalOhRw7t7l8Yh8,0.862,0.4,-7.4860000000000015,0.0736,0.00575,0.123,0.596,122.963,2
Galantis,Runaway (U & I),(05/20) 18:55 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,-4.119,0.0469,0.007109999999999998,0.0856,0.383,126.008,3
Nightly,Twenty Something,(05/20) 18:52 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,0.6409999999999999,0.589,-6.305,0.0275,0.096,0.208,0.11,100.001,4
LANY,pink skies,(05/20) 18:47 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6BZ6pl5bczDc3cMF1kBaOy,0.7190000000000001,0.631,-6.6160000000000005,0.0433,0.266,0.134,0.466,103.968,2
joan,drive all night,(05/20) 18:44 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:75ZKw8JLaFsYr51J44fQ4N,0.542,0.758,-5.032,0.0313,0.000184,0.14400000000000002,0.43,156.128,3
Kygo,I'll Wait,(05/20) 18:41 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.983,4
Said the Sky,All I Got,(05/20) 18:38 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Said the Sky,All I Got,(05/20) 18:32 PM,5fd5fd6f94c7863dc2dedc9225afa1488efc7963,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.103,144.745,3
Said the Sky,Erase Me,(05/19) 18:09 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:0AISJtBDtZXgB2fuvcjQEN,0.528,0.61,-6.564,0.0287,0.376,0.211,0.304,130.11,6
lovelytheband,broken - Cash Cash Remix,(05/19) 18:06 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5W0vgRE9B23TZDj5B7pRUO,0.4970000000000001,0.747,-3.112,0.0894,0.0259,0.0697,0.355,140.81,3
Lost Frequencies,Are You With Me - Radio Edit,(05/19) 18:03 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:62nhuooamoroYpJyqE0nLd,0.763,0.61,-8.094,0.0355,0.275,0.12,0.392,121.031,4
lovelytheband,stupid mistakes,(05/19) 18:01 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:3yGZzSxHvvQKwMsAtFfNF5,0.6970000000000001,0.713,-6.567,0.0265,0.133,0.23,0.529,128.974,4
John K,if we never met,(05/19) 17:57 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5HBDBBr5OV90lubqW8ctJF,0.958,0.376,-7.063,0.0523,0.171,0.127,0.331,107.964,2
Greyson Chance,shut up,(05/19) 17:55 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:65mPCrY32YMQlBnmWVrKNa,0.821,0.448,-4.33,0.0468,0.29600000000000004,0.0683,0.45,105.006,2
keshi,2 soon,(05/19) 17:52 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:5SlU0Yhi51jobhEiGE4xDv,0.517,0.6629999999999999,-6.688,0.0375,0.146,0.322,0.146,174.032,3
ayokay,Queen (feat. Quinn XCII),(05/19) 17:48 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2lxW8vQ9Qjv0qeSQiIBOKJ,0.7809999999999999,0.619,-6.6160000000000005,0.0882,0.22,0.112,0.391,82.954,2
Quinn XCII,Tough (feat. Noah Kahan),(05/19) 17:45 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:3a1Zmq0P1E6W80x8EOcVNP,0.7290000000000001,0.57,-7.0470000000000015,0.0554,0.388,0.111,0.687,93.125,2
Chelsea Cutler,Your Shirt,(05/19) 17:42 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:6zdg9ovHEPx9EblJcc7FGf,0.433,0.478,-6.641,0.0725,0.191,0.32,0.173,179.98,3
ILLENIUM,Crashing (feat. Bahari),(05/19) 17:38 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:17Efhyf4A96n0EFXKeB7Ya,0.5820000000000001,0.6809999999999999,-6.138,0.0458,0.342,0.18600000000000005,0.273,95.995,4
Marc E. Bassy,Just My Luck,(05/19) 17:34 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:2QsBAfiNmngcrZsOTznqBG,0.617,0.64,-5.601,0.042,0.28300000000000003,0.16399999999999998,0.34600000000000003,156.98,4
Boy In Space,7UP,(05/19) 17:31 PM,4713ca9a59c874cf161e99d2b334825d1bfd993f,spotify:track:4cB00WOFuQFLoDpnydcx8c,0.616,0.469,-7.38,0.027000000000000003,0.0167,0.111,0.233,135.035,4
